uid,date,traj_site,traj_arr
34,2013-01-19,"(296, 146, 100, 146, 100, 296)","(5, 3, 5)"
34,2013-01-20,"(296,)","(5,)"
35,2013-01-07,"(1030, 1045, 1056, 1055, 1030)","(25,)"
35,2013-01-08,"(1056, 1045, 1056, 1045, 1055, 1045, 1056, 1045, 1056, 1045, 1030)","(25,)"
35,2013-01-09,"(1045, 1056, 1045, 1056, 1055, 1056)","(25,)"
35,2013-01-10,"(1045, 1055, 1045, 1056, 1045)","(25,)"
35,2013-01-11,"(1045, 1025, 1045)","(25,)"
35,2013-01-12,"(1045,)","(25,)"
35,2013-01-13,"(560, 203, 229)","(19, 1)"
35,2013-01-14,"(181, 137, 181, 219, 242, 214, 227, 1045)","(3, 1, 3, 4, 25)"
35,2013-01-15,"(1045, 1073, 1045)","(25,)"
35,2013-01-16,"(1045,)","(25,)"
35,2013-01-17,"(1045,)","(25,)"
35,2013-01-18,"(1045, 1055, 1056, 1045, 1030)","(25,)"
35,2013-01-19,"(1045,)","(25,)"
35,2013-01-20,"(1030,)","(25,)"
42,2013-01-07,"(402, 334, 333, 319, 309, 319, 309, 319, 281, 256, 235, 237, 184)","(7, 6, 7, 6, 3, 4, 3)"
42,2013-01-08,"(286, 265, 321)","(3, 6)"
42,2013-01-09,"(319, 309, 286, 165, 200, 175, 200, 227, 165, 160, 146, 321)","(6, 3, 4, 3, 6)"
42,2013-01-10,"(321, 268, 265, 242, 268, 256, 321)","(6, 3, 4, 3, 6)"
42,2013-01-11,"(319, 313, 319, 301, 309, 286, 228, 219, 230, 202, 291, 309, 321)","(6, 3, 4, 3, 6)"
42,2013-01-12,"(321,)","(6,)"
42,2013-01-13,"(321, 319, 582)","(6, 13)"
42,2013-01-14,"(582,)","(13,)"
42,2013-01-15,"(394, 321)","(7, 6)"
42,2013-01-16,"(321, 319, 313, 319, 301, 237, 267, 286, 265, 162, 321)","(6, 3, 4, 3, 6)"
42,2013-01-17,"(321, 309, 270, 244, 268, 219, 321)","(6, 3, 4, 6)"
42,2013-01-18,"(319,)","(6,)"
42,2013-01-19,"(582, 573, 561, 572, 575, 573, 582)","(13, 19, 20, 19, 13)"
42,2013-01-20,"(582, 590, 582, 578, 371, 321)","(13, 14, 13, 14, 7, 6)"
45,2013-01-07,"(14, 17, 45, 28, 14, 23, 17, 14, 17, 23, 14)","(2, 1, 2)"
45,2013-01-08,"(23, 14, 23, 14, 17, 14)","(2,)"
45,2013-01-09,"(14, 16, 60, 80, 116, 56, 80, 41, 17, 23, 14, 17, 8, 14, 12, 5, 12, 5, 14, 17, 23)","(2, 3, 1, 2, 1, 2)"
45,2013-01-10,"(23, 14, 23, 14, 23, 26, 16, 17, 26, 16, 12, 17, 14, 23, 12, 23, 14, 17, 45, 14)","(2, 1, 2)"
45,2013-01-11,"(14, 23, 14, 23, 17, 14, 23, 14, 17)","(2,)"
45,2013-01-12,"(14, 79, 70, 26, 14, 17)","(2, 4, 2)"
45,2013-01-13,"(14,)","(2,)"
45,2013-01-14,"(23, 28)","(2,)"
45,2013-01-15,"(65, 17, 14, 28, 23, 17, 28, 23, 17, 14, 17, 14, 23, 28, 14, 12, 14, 17, 12, 23, 17)","(4, 2)"
45,2013-01-16,"(17, 23, 14, 17, 23, 28, 14, 17, 14, 17, 23, 17, 26, 16, 14, 23, 45, 17, 14, 23)","(2, 1, 2)"
45,2013-01-17,"(17, 14, 23, 14, 17)","(2,)"
45,2013-01-18,"(17, 79, 17)","(2, 4, 2)"
45,2013-01-19,"(915, 1003)","(54, 52)"
45,2013-01-20,"(1003, 1084, 1003)","(52, 31, 52)"
47,2013-01-07,"(297,)","(6,)"
47,2013-01-09,"(297, 302, 297)","(6,)"
47,2013-01-10,"(297,)","(6,)"
47,2013-01-11,"(297,)","(6,)"
47,2013-01-12,"(297, 302)","(6,)"
47,2013-01-13,"(297,)","(6,)"
47,2013-01-14,"(297,)","(6,)"
47,2013-01-15,"(302,)","(6,)"
47,2013-01-16,"(297,)","(6,)"
47,2013-01-17,"(297,)","(6,)"
47,2013-01-18,"(297, 302, 297, 114, 184, 81)","(6, 3, 2)"
47,2013-01-19,"(297,)","(6,)"
47,2013-01-20,"(297,)","(6,)"
49,2013-01-07,"(251, 209)","(1,)"
49,2013-01-08,"(222, 251)","(1,)"
49,2013-01-09,"(251, 331, 251)","(1, 5, 1)"
49,2013-01-10,"(251, 80, 203, 88, 121)","(1,)"
49,2013-01-11,"(148,)","(4,)"
49,2013-01-12,"(52, 251, 229, 251, 196, 58, 148, 141)","(2, 1, 3, 4, 3)"
49,2013-01-13,"(251, 229, 251, 229, 251, 229, 251, 229, 251)","(1,)"
49,2013-01-14,"(251, 259, 251)","(1,)"
49,2013-01-15,"(126, 251, 83, 203, 330, 349, 312, 116, 251)","(3, 1, 2, 1, 5, 1)"
49,2013-01-16,"(251, 28, 24, 121, 173)","(1, 2, 1)"
49,2013-01-17,"(251, 184, 124, 191)","(1, 3, 4, 3)"
49,2013-01-18,"(270, 251, 229, 251)","(3, 1)"
49,2013-01-19,"(251, 209, 86, 116, 121, 251, 199)","(1, 2, 1)"
49,2013-01-20,"(251, 229, 97, 251, 201)","(1, 4)"
51,2013-01-07,"(28,)","(2,)"
51,2013-01-08,"(232,)","(3,)"
51,2013-01-09,"(232,)","(3,)"
51,2013-01-10,"(232,)","(3,)"
51,2013-01-12,"(232, 140, 28)","(3, 4, 2)"
51,2013-01-13,"(28,)","(2,)"
51,2013-01-14,"(232,)","(3,)"
51,2013-01-15,"(232, 114, 28)","(3, 2)"
51,2013-01-16,"(232, 28)","(3, 2)"
51,2013-01-17,"(232, 156, 15)","(3, 1, 2)"
51,2013-01-18,"(232,)","(3,)"
51,2013-01-19,"(232, 206)","(3,)"
51,2013-01-20,"(28,)","(2,)"
53,2013-01-07,"(126, 100, 126, 160)","(3,)"
53,2013-01-08,"(126,)","(3,)"
53,2013-01-09,"(108,)","(3,)"
53,2013-01-10,"(100, 126, 160, 100, 108, 100, 126)","(3,)"
53,2013-01-11,"(126, 108)","(3,)"
53,2013-01-12,"(108, 100, 99, 108, 81, 108)","(3, 2, 3)"
53,2013-01-13,"(126, 146, 126)","(3,)"
53,2013-01-14,"(162, 126)","(3,)"
53,2013-01-15,"(126, 108)","(3,)"
53,2013-01-16,"(126, 142, 160, 126, 108, 126)","(3,)"
53,2013-01-17,"(126,)","(3,)"
53,2013-01-18,"(126, 160, 126, 108, 126)","(3,)"
53,2013-01-19,"(160, 126)","(3,)"
53,2013-01-20,"(126,)","(3,)"
57,2013-01-07,"(340, 335, 328, 219, 230, 227, 225, 243, 225, 246, 225, 243, 313, 335, 340, 335, 340, 335, 340, 335, 340)","(6, 4, 6)"
57,2013-01-08,"(335, 340, 335, 340, 335, 327, 335, 329, 335)","(6,)"
57,2013-01-09,"(188, 228, 243, 208, 246, 221, 246, 335, 340, 329, 335)","(4, 6)"
57,2013-01-10,"(335, 255, 225, 243, 225, 243, 221, 340, 335)","(6, 3, 4, 6)"
57,2013-01-11,"(335, 311, 225, 253, 225, 335, 340, 335, 327, 335)","(6, 4, 6)"
57,2013-01-12,"(335, 340, 335, 340)","(6,)"
57,2013-01-13,"(335, 340, 335, 329, 335, 340, 335, 329, 335, 340)","(6,)"
57,2013-01-14,"(225, 335, 329, 335, 340, 327, 335, 340)","(4, 6)"
57,2013-01-15,"(214, 225, 246, 225, 335, 340, 335, 340, 335)","(4, 6)"
57,2013-01-16,"(335, 202, 225, 221, 225, 354, 343, 407)","(6, 4, 7, 6, 8)"
57,2013-01-17,"(5, 225, 246, 225, 221, 246, 340, 335, 340, 335, 340, 327, 340, 335)","(2, 4, 6)"
57,2013-01-18,"(335, 188, 200, 179, 202, 216, 214, 225, 221, 225, 246, 225, 253, 246, 335)","(6, 4, 6)"
57,2013-01-19,"(335, 340, 335)","(6,)"
57,2013-01-20,"(335, 340, 335)","(6,)"
59,2013-01-07,"(430, 429, 430, 429, 402, 187, 174, 181, 373, 408, 420, 429, 430, 429, 430, 429, 423, 433)","(8, 7, 8, 7, 3, 7, 8, 7, 8, 7, 8, 7)"
59,2013-01-08,"(508, 515, 512, 518, 522, 512, 423, 429, 447, 429, 435, 433, 423, 429, 423, 429, 423, 431)","(12, 7, 10, 7, 8)"
59,2013-01-09,"(431, 429, 431, 420, 429, 431, 202, 319, 447, 431, 429)","(8, 7, 8, 7, 8, 4, 6, 10, 8, 7)"
59,2013-01-10,"(429, 433, 435, 423, 429, 431, 429, 431, 429)","(7, 8, 7, 8, 7)"
59,2013-01-11,"(416, 429, 430, 429)","(7, 8, 7)"
59,2013-01-12,"(429, 430, 429)","(7, 8, 7)"
59,2013-01-13,"(429, 431, 420, 431, 430, 423, 429)","(7, 8, 7)"
59,2013-01-14,"(434, 429, 423, 429)","(9, 7)"
59,2013-01-15,"(434, 430, 429, 431, 429)","(9, 8, 7, 8, 7)"
59,2013-01-16,"(434, 429, 423, 429)","(9, 7)"
59,2013-01-17,"(423, 429, 435, 433, 423, 430, 429, 423, 429, 431, 423)","(7, 8, 7, 8, 7)"
59,2013-01-18,"(429, 416, 429, 518, 522, 531, 526)","(7, 12)"
59,2013-01-19,"(429, 447, 429)","(7, 10, 7)"
59,2013-01-20,"(423, 429, 430)","(7, 8)"
60,2013-01-09,"(108, 50)","(3, 2)"
60,2013-01-10,"(48, 41, 100, 52, 48, 100, 48, 34, 50, 69, 50, 69)","(2, 3, 2, 3, 2)"
60,2013-01-11,"(41, 48, 76, 48, 333)","(2, 7)"
60,2013-01-12,"(571,)","(20,)"
60,2013-01-13,"(571, 50)","(20, 2)"
60,2013-01-14,"(48, 70, 46, 48, 50)","(2, 4, 2)"
60,2013-01-15,"(65, 48, 50)","(4, 2)"
60,2013-01-16,"(46, 48, 33, 216, 221, 48, 70, 48)","(2, 4, 2, 4, 2)"
60,2013-01-17,"(48, 246, 50)","(2, 4, 2)"
60,2013-01-18,"(48, 246, 257, 48, 50)","(2, 4, 2)"
60,2013-01-19,"(121, 56, 78)","(1, 2, 1)"
60,2013-01-20,"(50, 42, 69, 50, 42, 50)","(2,)"
61,2013-01-07,"(265, 121, 164, 182)","(3, 1)"
61,2013-01-08,"(137,)","(1,)"
61,2013-01-09,"(289, 286, 289, 286, 265, 289, 286, 265, 286, 244, 265, 244)","(3,)"
61,2013-01-10,"(286, 270, 286)","(3,)"
61,2013-01-11,"(286, 265)","(3,)"
61,2013-01-12,"(289,)","(3,)"
61,2013-01-13,"(265,)","(3,)"
61,2013-01-15,"(268, 309, 265)","(3, 6, 3)"
61,2013-01-16,"(286, 281, 265)","(3,)"
61,2013-01-18,"(265,)","(3,)"
61,2013-01-19,"(182, 97, 121)","(1,)"
61,2013-01-20,"(180,)","(1,)"
62,2013-01-08,"(5,)","(2,)"
62,2013-01-09,"(426,)","(8,)"
62,2013-01-10,"(420,)","(8,)"
62,2013-01-11,"(426, 5)","(8, 2)"
62,2013-01-12,"(5,)","(2,)"
62,2013-01-13,"(5, 420, 426)","(2, 8)"
62,2013-01-14,"(431, 394, 131, 420, 426)","(8, 7, 3, 8)"
62,2013-01-15,"(420,)","(8,)"
62,2013-01-16,"(5,)","(2,)"
62,2013-01-17,"(5, 420, 426)","(2, 8)"
62,2013-01-18,"(432,)","(8,)"
62,2013-01-19,"(420,)","(8,)"
62,2013-01-20,"(431, 426)","(8,)"
73,2013-01-07,"(333, 334, 346, 333, 346, 355, 346)","(7, 6, 7, 6, 7)"
73,2013-01-08,"(346,)","(7,)"
73,2013-01-09,"(346,)","(7,)"
73,2013-01-10,"(346,)","(7,)"
73,2013-01-11,"(333, 244, 346)","(7, 3, 7)"
73,2013-01-12,"(244, 333, 346)","(3, 7)"
73,2013-01-13,"(346, 268, 346, 333, 268, 244, 289, 252, 289, 271, 265, 271, 265, 289, 521)","(7, 3, 7, 3, 4, 3, 4, 3, 12)"
73,2013-01-14,"(504, 346)","(12, 7)"
73,2013-01-15,"(333, 244, 333, 244, 333, 346, 355, 346, 334, 346)","(7, 3, 7, 3, 7, 6, 7, 6, 7)"
73,2013-01-16,"(346, 109, 200, 175, 200, 175, 200, 202, 200, 346)","(7, 4, 7)"
73,2013-01-17,"(346, 333, 270, 244, 333, 244, 346)","(7, 3, 7, 3, 7)"
73,2013-01-18,"(346,)","(7,)"
73,2013-01-19,"(333, 244, 346)","(7, 3, 7)"
73,2013-01-20,"(244, 346, 355, 346)","(3, 7, 6, 7)"
83,2013-01-07,"(191, 252, 56)","(3, 2)"
83,2013-01-08,"(56, 55, 56, 51)","(2, 1, 2)"
83,2013-01-09,"(51, 63, 56)","(2,)"
83,2013-01-10,"(56,)","(2,)"
83,2013-01-11,"(56,)","(2,)"
83,2013-01-13,"(56, 44)","(2,)"
83,2013-01-15,"(44, 56, 51)","(2,)"
83,2013-01-16,"(55,)","(1,)"
83,2013-01-17,"(44,)","(2,)"
83,2013-01-18,"(56,)","(2,)"
83,2013-01-19,"(56,)","(2,)"
83,2013-01-20,"(56,)","(2,)"
87,2013-01-07,"(162, 166)","(3,)"
87,2013-01-08,"(135,)","(3,)"
87,2013-01-10,"(135, 162, 135)","(3,)"
87,2013-01-11,"(135, 176, 129)","(3, 1, 2)"
87,2013-01-12,"(135,)","(3,)"
87,2013-01-13,"(135, 75, 92, 135)","(3,)"
87,2013-01-14,"(117, 135)","(3,)"
87,2013-01-15,"(135,)","(3,)"
87,2013-01-16,"(135, 117, 135, 162, 166)","(3,)"
87,2013-01-17,"(135, 166, 162, 166)","(3,)"
87,2013-01-18,"(135, 199, 129, 153, 151, 153)","(3, 1, 2, 1)"
87,2013-01-19,"(135, 93, 88, 93, 135)","(3, 1, 3)"
87,2013-01-20,"(135, 162)","(3,)"
88,2013-01-07,"(367,)","(8,)"
88,2013-01-08,"(130, 147, 367)","(4, 8)"
88,2013-01-09,"(367,)","(8,)"
88,2013-01-10,"(147, 367)","(4, 8)"
88,2013-01-11,"(367,)","(8,)"
88,2013-01-12,"(147, 371, 367, 371, 367, 371)","(4, 7, 8, 7, 8, 7)"
88,2013-01-13,"(367,)","(8,)"
88,2013-01-14,"(147, 278, 374)","(4, 3, 7)"
88,2013-01-16,"(202, 147, 367)","(4, 8)"
88,2013-01-17,"(278, 185, 367, 371, 367)","(3, 4, 8, 7, 8)"
88,2013-01-18,"(367, 371, 367, 371)","(8, 7, 8, 7)"
88,2013-01-19,"(367,)","(8,)"
88,2013-01-20,"(367, 371, 367, 371)","(8, 7, 8, 7)"
90,2013-01-07,"(296, 303, 110, 85, 214, 288, 296)","(5, 4, 5)"
90,2013-01-08,"(110, 77, 110, 120, 110, 140, 296, 303, 288, 361, 288, 303, 288, 296)","(4, 5, 7, 5)"
90,2013-01-09,"(303, 104, 140, 144, 106, 303, 288, 303, 296, 303)","(5, 4, 3, 4, 5)"
90,2013-01-10,"(303, 77, 85, 165, 110, 147, 110, 303, 288)","(5, 4, 5)"
90,2013-01-11,"(303, 77, 85, 77, 85, 77, 85, 160, 184, 303, 288, 299, 296, 303, 299, 303, 296)","(5, 4, 3, 5, 1, 5, 1, 5)"
90,2013-01-12,"(296, 303, 264, 288, 296, 303, 288)","(5, 1, 5)"
90,2013-01-13,"(385, 374, 368, 296, 303)","(7, 8, 5)"
90,2013-01-14,"(165, 85, 77, 296, 303, 296)","(4, 5)"
90,2013-01-15,"(140, 303, 288, 303)","(4, 5)"
90,2013-01-16,"(110, 120, 288, 303, 272, 303)","(4, 5, 1, 5)"
90,2013-01-17,"(110, 140)","(4,)"
90,2013-01-18,"(288, 296, 303)","(5,)"
90,2013-01-19,"(296, 303, 277, 298, 264, 140, 214, 147, 288, 296, 299, 303, 299, 303, 288)","(5, 1, 4, 5, 1, 5, 1, 5)"
90,2013-01-20,"(296,)","(5,)"
92,2013-01-07,"(146, 15)","(3, 2)"
92,2013-01-08,"(146, 160, 146, 135, 146)","(3,)"
92,2013-01-09,"(70, 175, 271, 257, 243, 146)","(4, 3)"
92,2013-01-10,"(146, 79, 162, 146)","(3, 4, 3)"
92,2013-01-11,"(65,)","(4,)"
92,2013-01-14,"(144, 142, 65, 146, 171, 146, 162, 146)","(3, 4, 3)"
92,2013-01-15,"(146, 191, 146, 77, 146)","(3, 4, 3)"
92,2013-01-16,"(146, 126, 146, 148, 146)","(3, 4, 3)"
92,2013-01-17,"(146, 85, 191, 146)","(3, 4, 3)"
92,2013-01-18,"(126, 146, 126, 146)","(3,)"
92,2013-01-19,"(146, 171, 146)","(3,)"
92,2013-01-20,"(146,)","(3,)"
93,2013-01-07,"(163, 140, 163, 140)","(4,)"
93,2013-01-08,"(163, 140)","(4,)"
93,2013-01-09,"(140, 124, 140, 120)","(4,)"
93,2013-01-10,"(124, 140)","(4,)"
93,2013-01-11,"(163, 140, 124, 140, 163)","(4,)"
93,2013-01-12,"(140, 124, 140)","(4,)"
93,2013-01-13,"(140, 163, 140, 188, 191, 170)","(4, 3, 4)"
93,2013-01-14,"(140, 120, 140, 124, 140)","(4,)"
93,2013-01-15,"(140, 147, 163, 140, 120, 124, 109, 124)","(4,)"
93,2013-01-16,"(163, 124, 140)","(4,)"
93,2013-01-17,"(163, 140)","(4,)"
93,2013-01-18,"(140,)","(4,)"
93,2013-01-19,"(140, 120, 140)","(4,)"
93,2013-01-20,"(140, 110, 140)","(4,)"
96,2013-01-07,"(153, 129, 322, 303, 312, 174, 213, 182)","(1, 2, 5, 3, 1)"
96,2013-01-08,"(322, 341, 331, 182, 322, 182)","(5, 1, 5, 1)"
96,2013-01-09,"(189,)","(1,)"
96,2013-01-10,"(189,)","(1,)"
96,2013-01-11,"(322, 331)","(5,)"
96,2013-01-12,"(582,)","(13,)"
96,2013-01-15,"(277,)","(5,)"
96,2013-01-16,"(305, 341, 189, 213, 182)","(5, 1)"
96,2013-01-17,"(331, 209, 229, 174)","(5, 1, 3)"
96,2013-01-18,"(182, 269, 307, 341, 209, 307, 182)","(1, 5, 1, 5, 1)"
96,2013-01-19,"(251, 189)","(1,)"
96,2013-01-20,"(182, 180, 182, 190, 173, 156, 173, 469, 436, 195, 210)","(1, 10, 1, 3)"
102,2013-01-07,"(706, 703, 708)","(73,)"
102,2013-01-08,"(706, 711, 703, 711, 708, 706, 711, 708)","(73,)"
102,2013-01-09,"(706, 702, 706, 703, 711, 708, 698, 696, 698, 696, 693, 695, 696, 708)","(73,)"
102,2013-01-10,"(705, 706, 703, 708, 706, 703, 708)","(73,)"
102,2013-01-11,"(702, 710, 702, 703, 706, 695, 698, 696, 703, 708, 711, 708, 715, 711)","(73,)"
102,2013-01-12,"(702, 703, 692, 706, 708, 702, 708)","(73,)"
102,2013-01-13,"(708,)","(73,)"
102,2013-01-14,"(706, 696, 706, 705, 708)","(73,)"
102,2013-01-15,"(702, 703, 706, 702, 708, 695, 708)","(73,)"
102,2013-01-16,"(708, 706, 708, 698, 604, 533, 503, 488, 475, 457, 443, 289, 210)","(73, 15, 19, 11, 10, 9, 3)"
102,2013-01-17,"(121, 256)","(1, 3)"
102,2013-01-18,"(121,)","(1,)"
102,2013-01-20,"(121, 117, 121, 117, 121)","(1, 3, 1, 3, 1)"
105,2013-01-07,"(245,)","(3,)"
105,2013-01-08,"(245,)","(3,)"
105,2013-01-09,"(245,)","(3,)"
105,2013-01-10,"(245,)","(3,)"
105,2013-01-11,"(245,)","(3,)"
105,2013-01-12,"(245,)","(3,)"
105,2013-01-13,"(245, 239, 262)","(3,)"
105,2013-01-15,"(245,)","(3,)"
105,2013-01-16,"(245,)","(3,)"
105,2013-01-18,"(245,)","(3,)"
105,2013-01-19,"(245,)","(3,)"
105,2013-01-20,"(245,)","(3,)"
107,2013-01-07,"(128, 102)","(4, 3)"
107,2013-01-08,"(128,)","(4,)"
107,2013-01-09,"(128, 102, 127)","(4, 3)"
107,2013-01-10,"(102,)","(3,)"
107,2013-01-11,"(102, 127, 102)","(3,)"
107,2013-01-12,"(102, 127, 102, 127)","(3,)"
107,2013-01-13,"(127, 102)","(3,)"
107,2013-01-14,"(128, 148, 128, 168, 127)","(4, 3)"
107,2013-01-15,"(128, 127, 102)","(4, 3)"
107,2013-01-16,"(128, 102)","(4, 3)"
107,2013-01-17,"(128,)","(4,)"
107,2013-01-19,"(102,)","(3,)"
107,2013-01-20,"(102, 127)","(3,)"
110,2013-01-07,"(33, 242, 237, 257, 253, 5)","(2, 4, 3, 4, 2)"
110,2013-01-08,"(8, 82, 257, 242, 257, 253, 257, 242, 247, 257, 265, 5)","(2, 4, 3, 2)"
110,2013-01-09,"(33, 253, 257, 271, 253, 257, 5)","(2, 4, 2)"
110,2013-01-10,"(30, 253, 257, 271, 5)","(2, 4, 2)"
110,2013-01-11,"(30, 242, 257, 253, 257, 185, 5, 253, 271, 8)","(2, 4, 2, 4, 2)"
110,2013-01-12,"(9, 5, 12, 11, 12, 242, 257, 253, 19, 250, 242)","(2, 4, 2, 4)"
110,2013-01-13,"(267, 5, 24, 268, 286, 242, 214, 5, 225, 5, 3, 5)","(4, 2, 3, 4, 2, 4, 2)"
110,2013-01-14,"(37, 257, 253, 265, 253, 40, 5)","(2, 4, 3, 4, 2)"
110,2013-01-15,"(257, 271, 257, 242, 253, 257, 253, 257, 216, 124, 109, 19, 5)","(4, 2)"
110,2013-01-16,"(82, 257, 267, 242, 250, 289, 253, 257, 253, 242, 253, 257, 253, 5)","(4, 3, 4, 2)"
110,2013-01-17,"(37, 40, 227, 242, 257, 253, 250, 253, 242, 257, 271, 267, 216, 257)","(2, 4)"
110,2013-01-18,"(109, 47, 257, 242, 257, 242, 257, 253, 47, 5)","(4, 2)"
110,2013-01-19,"(8, 24, 25, 253, 208, 175, 5, 2, 5)","(2, 4, 2)"
110,2013-01-20,"(5, 19, 257, 242, 253, 5, 8, 5)","(2, 4, 2)"
111,2013-01-07,"(157,)","(3,)"
111,2013-01-08,"(332, 340, 332)","(6,)"
111,2013-01-10,"(329, 332, 329, 332, 327)","(6,)"
111,2013-01-11,"(332,)","(6,)"
111,2013-01-12,"(332,)","(6,)"
111,2013-01-13,"(332,)","(6,)"
111,2013-01-14,"(332, 171, 332)","(6, 3, 6)"
111,2013-01-15,"(332, 326, 327)","(6,)"
111,2013-01-16,"(332,)","(6,)"
111,2013-01-17,"(332, 210)","(6, 3)"
